parameter_id,parameter_index,parameter_value
256,0,00
256,1,00
256,2,00
256,3,00
257,0,02CB
257,1,0351
257,2,03D7
257,3,048A
258,0,00
258,1,00
258,2,00
258,3,00
259,0,00
259,1,00
259,2,00
259,3,00
260,0,00
260,1,00
260,2,00
260,3,00
261,0,000000000000000000000190000001900132
262,0,00000078
262,1,00000000
262,2,00000000
262,3,00000000
263,0,000007D0
263,1,00000000
263,2,00000000
263,3,00000000
264,0,19
264,1,00
264,2,00
264,3,00
265,0,00000E10
265,1,0000A8C0
265,2,0000000A
265,3,00000000
265,4,000004B0
265,5,00000258
265,6,0000003C
265,7,000000B4
265,8,0000003C
265,9,0000000A
265,10,00000002
265,11,0000000A
265,12,00000078
265,13,00000001
265,14,00002A30
265,15,00000002
265,16,0000012C
265,17,0000003C
265,18,00015180
265,19,00000005
265,20,00000005
265,21,0000000A
265,22,0000000A
265,23,0000000A
265,24,00000002
265,25,00000000
265,26,00000000
265,27,0000003C
265,28,00000000
265,29,00000000
265,30,00000078
265,31,00000000
266,0,000032C8
266,2,00000BB8
266,19,000000DE
266,20,00001047
266,21,000004EC
266,22,000008CA
266,23,000009DF
266,24,00000AF0
267,0,00004650
267,1,0000EF10
269,0,00
269,1,00
269,2,00
269,3,00
270,0,05
270,1,0A
270,2,0A
270,3,00
270,4,00
270,5,0A
270,6,0A
270,7,0A
270,8,0A
270,9,0A
270,10,0A
270,11,0A
270,12,0A
270,13,0A
270,14,0A
270,15,0A
271,0,00
271,1,02
271,2,02
271,3,00
271,4,00
271,5,00
271,6,3C
271,7,3C
271,8,00
271,9,00
271,10,00
271,11,00
271,12,00
271,13,00
271,14,00
271,15,00
272,0,00
272,1,02
272,2,02
272,3,03
272,4,03
272,5,00
272,6,3C
272,7,3C
272,8,00
272,9,00
272,10,00
272,11,00
272,12,00
272,13,00
272,14,00
272,15,00
273,0,00000000
273,1,00000000
273,2,00000000
273,3,00000000
273,4,00000000
273,5,00000000
273,6,00000000
273,7,00000000
275,0,00000003
275,1,00000000
275,2,00000000
275,3,00000000
276,0,300C
276,1,0000
276,2,0000
276,3,0000
277,0,00000000
277,1,00000000
277,2,00000000
277,3,00000000
278,0,00
278,1,00
278,2,00
278,3,00
279,0,05
279,2,05
279,4,0F
279,5,0F
279,6,15
279,8,01
279,10,24
279,19,03
279,20,03
279,21,03
279,22,03
279,23,03
279,24,03
281,0,01
281,1,02
281,2,03
281,3,04
282,0,00
282,1,00
282,2,00
282,3,00
283,0,00FA
283,1,015E
283,2,013B
283,3,013B
284,0,05DC
284,1,05DC
284,2,05DC
284,3,05DC
285,0,7530
285,1,7530
285,2,7530
285,3,7530
287,0,010007002F0200000000000000000000
287,1,07002F02000000000000000000000000
287,2,00000000000000000000000000000000
287,3,00000000000000000000000000000000
287,4,00000000000000000000000000000000
287,5,01000300000000000000000000000000
287,6,00004000000000000000000000000000
287,7,00000000000000000000000000000000
512,0,030000003A150000
512,1,030000003A160000
512,2,030000003A170000
512,3,0000000000000000
512,4,0000000000000000
512,5,030000002F000000
512,6,030000002F120000
512,7,030000002F510000
512,8,0300000045090000
512,9,030000000D0D0000
512,10,0000000000000000
512,11,010000000D000000
512,12,0000000000000000
512,13,0F0000001E050000
512,14,0F00000001150000
512,15,0F000C0514000000
512,16,0F0000001E000000
512,17,0F0000001E010000
512,18,0F00000007000000
512,19,0F0000001B030000
512,20,0F0000001A080000
512,21,0F0000001E1E0000
512,22,0F0000001E110000
512,23,0000000000000000
512,24,1000000001140000
512,25,1000000011050000
512,26,100000000D000000
512,27,1000000006000000
512,28,100000001C030000
512,29,100000001C080000
512,30,1000000049000000
512,31,0000000000000000
512,32,12000200011F0700
512,33,0000000000000000
512,34,1205020027000000
512,35,1205020001200000
512,36,0000000000000000
512,37,1206000027000000
512,38,1207040001780100
512,39,120C3200017B0000
512,40,0000000000000000
512,41,11000700011E0000
512,42,0000000000000000
512,43,040600000F060000
512,44,050600001E060000
512,45,0000000000000000
512,46,0000000000000000
512,47,46013200110C0000
512,48,0000000000000000
512,49,04010000013D0000
512,50,05010000013D0000
512,51,0000000000000000
512,52,0000000000000000
512,53,0F000000200B0000
512,54,0406110B01440000
512,55,0406110B1F0B0000
512,56,0000000000000000
512,57,0F00000020140000
512,58,0506111401450000
512,59,050611141F140000
512,60,0000000000000000
512,61,0F00000020150000
512,62,0407111501460000
512,63,040711151F150000
512,64,0000000000000000
512,65,0F00000020160000
512,66,0507111600000000
512,67,050711161F160000
512,68,0000000000000000
512,69,42010000016D0000
512,70,0000000000000000
512,71,030000006E000000
512,72,0000000000000000
512,73,4C00020001282F08
512,74,0000000000000000
512,75,0000000000000000
512,76,1000000008050000
512,77,0F00000009050000
512,78,0000000000000000
512,79,0000000000000000
512,80,300010000A010000
512,81,30001000017C0000
512,82,3000100027000000
512,83,3000100020000000
512,84,0000000000000000
512,85,3000100108000000
512,86,300010011F0D0000
512,87,30001001017E0000
512,88,3000100127000000
512,89,3000100120010000
512,90,0000000000000000
512,91,3000100309000000
512,92,30001003200D0000
512,93,30001003017D0000
512,94,3000100327000000
512,95,3000100320030000
512,96,0000000000000000
512,97,2A0003001E070000
512,98,2B00040011070000
512,99,0000000000000000
512,100,0F000000200C0000
512,101,2D00110C11100000
512,102,2C00110C1E100000
512,103,1210110C01180000
512,104,1210110C1F0C0000
512,105,0000000000000000
512,106,0000000000000000
512,107,0000000000000000
512,108,0300000011120000
512,109,121200001F0E0000
512,110,120D100E46000200
512,111,120D100E200E0200
512,112,0000000000000000
512,113,0000000000000000
512,114,0000000000000000
512,115,3B00000047770000
512,116,3B0000001F0F0000
512,117,3B00010001370000
512,118,3B0001009F090000
512,119,1000000013070000
512,120,0000000000000000
512,121,0F0000000C020000
512,122,3B00010009020000
512,123,1000000009020000
512,124,0000000000000000
512,125,10000000200F0000
512,126,0F000000111B0000
512,127,121B110F01390100
512,128,121B110F9F0B0100
512,129,0000000000000000
512,130,0000000000000000
512,131,0F0000000D140000
512,132,100000001E140000
512,133,0000000000000000
512,134,05030000019C0000
512,135,050300001F110000
512,136,05033A051F130000
512,137,05033A0511160000
512,138,05033A059F070000
512,139,05033A050D140000
512,140,0403000020110000
512,141,0403000020130000
512,142,0403000001410000
512,143,0000000000000000
512,144,05040000019D0000
512,145,050400001F120000
512,146,05043A051F130000
512,147,05043A0511170000
512,148,05043A059F071111
512,149,05043A050D141111
512,150,0404000020120000
512,151,0404000020130000
512,152,0404000001A20000
512,153,0000000000000000
512,154,2A0010119F075012
512,155,2A0010110D145012
512,156,2A0010111F135012
512,157,2A00101111160100
512,158,2A00101211170100
512,159,2B00000020130000
512,160,0000000000000000
512,161,120D040020130A05
512,162,120D111120131112
512,163,1214111120131112
512,164,121410139F070000
512,165,0000000000000000
512,166,1216101101400100
512,167,1217101201A10100
512,168,0000000000000000
512,169,0000000000000000
